"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Projects\NextJS\bimformative\app\api\scripts\by-id\[scriptId]\get-versions\route.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Projects\NextJS\bimformative\app\api\scripts\by-id\[scriptId]\route.ts", "TypeScript", 107, 0, 5, 19, 131
"c:\Projects\NextJS\bimformative\app\api\scripts\by-id\[scriptId]\update\route.ts", "TypeScript", -2, 0, 0, 0, -2
"c:\Projects\NextJS\bimformative\app\api\scripts\route.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Projects\NextJS\bimformative\app\components\UserActionMenu.tsx", "TypeScript JSX", 0, 15, -15, 2, 2
"c:\Projects\NextJS\bimformative\app\components\scripts\EditDialog.tsx", "TypeScript JSX", 0, 203, 0, 17, 220
"c:\Projects\NextJS\bimformative\app\components\scripts\UpdateDialog.tsx", "TypeScript JSX", 0, 130, 4, 23, 157
"c:\Projects\NextJS\bimformative\app\dashboard\usercolumns.tsx", "TypeScript JSX", 0, 1, 0, 0, 1
"c:\Projects\NextJS\bimformative\app\lib\interface.ts", "TypeScript", 0, 0, 0, 1, 1
"Total", "-", 107, 349, -6, 62, 512
