"filename", "language", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Projects\NextJS\bimformative\app\actions\addscript.ts", "TypeScript", 0, -28, 0, 0, -8, -36
"c:\Projects\NextJS\bimformative\app\actions\clientActions.ts", "TypeScript", 0, 13, 0, 2, 5, 20
"c:\Projects\NextJS\bimformative\app\actions\serverActions.ts", "TypeScript", 0, 253, 0, 31, 80, 364
"c:\Projects\NextJS\bimformative\app\api\blogs\route.ts", "TypeScript", 0, -41, 0, -2, -6, -49
"c:\Projects\NextJS\bimformative\app\api\blogs\tags\route.ts", "TypeScript", 0, -25, 0, -1, -4, -30
"c:\Projects\NextJS\bimformative\app\api\download\route.ts", "TypeScript", 0, -29, 0, -2, -12, -43
"c:\Projects\NextJS\bimformative\app\api\handleDownload.ts", "TypeScript", 0, -17, 0, 0, -1, -18
"c:\Projects\NextJS\bimformative\app\api\kitSubscribe\route.ts", "TypeScript", 0, -53, 0, -8, -15, -76
"c:\Projects\NextJS\bimformative\app\api\message\route.ts", "TypeScript", 0, -104, 0, -9, -25, -138
"c:\Projects\NextJS\bimformative\app\api\openapi\route.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"c:\Projects\NextJS\bimformative\app\api\public\v1\scripts\route.ts", "TypeScript", 0, 14, 0, 0, 4, 18
"c:\Projects\NextJS\bimformative\app\api\public\v1\search\route.ts", "TypeScript", 0, 38, 0, 0, 5, 43
"c:\Projects\NextJS\bimformative\app\api\resourceCount\route.ts", "TypeScript", 0, -19, 0, 0, -2, -21
"c:\Projects\NextJS\bimformative\app\api\resources\route.ts", "TypeScript", 0, -47, 0, -2, -9, -58
"c:\Projects\NextJS\bimformative\app\api\roadmap\route.ts", "TypeScript", 0, -25, 0, -1, -4, -30
"c:\Projects\NextJS\bimformative\app\api\script-versions\[versionId]\download\route.ts", "TypeScript", 0, -34, 0, -2, -7, -43
"c:\Projects\NextJS\bimformative\app\api\script-versions\[versionId]\route.ts", "TypeScript", 0, -131, 0, -10, -29, -170
"c:\Projects\NextJS\bimformative\app\api\script-versions\[versionId]\set-current\route.ts", "TypeScript", 0, -74, 0, -5, -14, -93
"c:\Projects\NextJS\bimformative\app\api\scripts\[slug]\download\route.ts", "TypeScript", 0, -47, 0, -1, -10, -58
"c:\Projects\NextJS\bimformative\app\api\scripts\[slug]\route.ts", "TypeScript", 0, -15, 0, 0, -4, -19
"c:\Projects\NextJS\bimformative\app\api\scripts\[slug]\versions\route.ts", "TypeScript", 0, -35, 0, 0, -7, -42
"c:\Projects\NextJS\bimformative\app\api\scripts\analyze\route.ts", "TypeScript", 0, -40, 0, -3, -12, -55
"c:\Projects\NextJS\bimformative\app\api\scripts\by-id\[scriptId]\get-versions\route.ts", "TypeScript", 0, -24, 0, 0, -5, -29
"c:\Projects\NextJS\bimformative\app\api\scripts\by-id\[scriptId]\route.ts", "TypeScript", 0, -282, 0, -17, -58, -357
"c:\Projects\NextJS\bimformative\app\api\scripts\by-id\[scriptId]\set-active-version\route.ts", "TypeScript", 0, -21, 0, 0, -5, -26
"c:\Projects\NextJS\bimformative\app\api\scripts\by-id\[scriptId]\update\route.ts", "TypeScript", 0, -44, 0, -1, -8, -53
"c:\Projects\NextJS\bimformative\app\api\scripts\publish\route.ts", "TypeScript", 0, -175, 0, -16, -42, -233
"c:\Projects\NextJS\bimformative\app\api\scripts\python-nodes\route.ts", "TypeScript", 0, -36, 0, -1, -6, -43
"c:\Projects\NextJS\bimformative\app\api\scripts\route.ts", "TypeScript", 0, -67, 0, -6, -12, -85
"c:\Projects\NextJS\bimformative\app\api\scripts\slugs\route.ts", "TypeScript", 0, -14, 0, 0, -5, -19
"c:\Projects\NextJS\bimformative\app\api\scripts\upload\route.ts", "TypeScript", 0, -146, 0, -8, -31, -185
"c:\Projects\NextJS\bimformative\app\api\subscribe\route.ts", "TypeScript", 0, -60, 0, -9, -15, -84
"c:\Projects\NextJS\bimformative\app\api\upload\route.ts", "TypeScript", 0, -36, 0, -1, -13, -50
"c:\Projects\NextJS\bimformative\app\api\users\route.ts", "TypeScript", 0, -30, 0, 0, -6, -36
"c:\Projects\NextJS\bimformative\app\api\v1\script-versions\[versionId]\download\route.ts", "TypeScript", 0, 46, 0, 0, 9, 55
"c:\Projects\NextJS\bimformative\app\api\v1\scripts\[slug]\download\route.ts", "TypeScript", 0, 46, 0, 0, 9, 55
"c:\Projects\NextJS\bimformative\app\api\v1\scripts\analyze\route.ts", "TypeScript", 0, 34, 0, 0, 8, 42
"c:\Projects\NextJS\bimformative\app\api\v1\subscribe\route.ts", "TypeScript", 0, 26, 0, 0, 4, 30
"c:\Projects\NextJS\bimformative\app\api\webhooks\clerk\route.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"c:\Projects\NextJS\bimformative\app\blog\[slug]\page.tsx", "TypeScript JSX", -10, 0, 0, 0, -1, -11
"c:\Projects\NextJS\bimformative\app\blog\page.tsx", "TypeScript JSX", -65, 0, 0, -1, -9, -75
"c:\Projects\NextJS\bimformative\app\canvas\page.tsx", "TypeScript JSX", -30, 0, 0, 0, -6, -36
"c:\Projects\NextJS\bimformative\app\components\AboutSection.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 1
"c:\Projects\NextJS\bimformative\app\components\Blogs.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, -1
"c:\Projects\NextJS\bimformative\app\components\CommentForm.tsx", "TypeScript JSX", 56, 0, 0, 6, 15, 77
"c:\Projects\NextJS\bimformative\app\components\ContactForm.tsx", "TypeScript JSX", -62, 0, 0, -2, -5, -69
"c:\Projects\NextJS\bimformative\app\components\DialogDelete.tsx", "TypeScript JSX", -34, 0, 0, 0, -1, -35
